n,s,s_over_n,shape,config
6,3,0.500000,S2,2x3
7,7,1.000000,S1,"AGL(1,7)"
8,8,1.000000,S1,"AGL(1,8)"
9,9,1.000000,S1,"AGL(1,9)"
10,5,0.500000,S2,2x5
11,11,1.000000,S1,"AGL(1,11)"
12,5,0.416667,S3,1x5 + 7* (q=3)
13,13,1.000000,S1,"AGL(1,13)"
14,7,0.500000,S2,2x7
15,5,0.333333,S2,3x5
16,16,1.000000,S1,"AGL(1,16)"
17,17,1.000000,S1,"AGL(1,17)"
18,9,0.500000,S2,2x9
19,19,1.000000,S1,"AGL(1,19)"
20,9,0.450000,S3,1x9 + 11* (q=5)
21,7,0.333333,S2,3x7
22,11,0.500000,S2,2x11
23,23,1.000000,S1,"AGL(1,23)"
24,11,0.458333,S3,1x13 + 11* (q=5)
25,25,1.000000,S1,"AGL(1,25)"
26,13,0.500000,S2,2x13
27,27,1.000000,S1,"AGL(1,27)"
28,11,0.392857,S3,1x11 + 17* (q=2)
29,29,1.000000,S1,"AGL(1,29)"
30,13,0.433333,S3,1x13 + 17* (q=2)
31,31,1.000000,S1,"AGL(1,31)"
32,32,1.000000,S1,"AGL(1,32)"
33,16,0.484848,S3,1x16 + 17* (q=2)
34,17,0.500000,S2,2x17
35,16,0.457143,S3,1x16 + 19* (q=3)
36,17,0.472222,S3,1x17 + 19* (q=3)
37,37,1.000000,S1,"AGL(1,37)"
38,19,0.500000,S2,2x19
39,16,0.410256,S3,1x16 + 23* (q=11)
40,17,0.425000,S3,1x17 + 23* (q=11)
41,41,1.000000,S1,"AGL(1,41)"
42,19,0.452381,S3,1x19 + 23* (q=11)
43,43,1.000000,S1,"AGL(1,43)"
44,19,0.431818,S3,1x25 + 19* (q=3)
45,13,0.288889,S7f2,2x13 + 19* (q=3)
46,23,0.500000,S2,2x23
47,47,1.000000,S1,"AGL(1,47)"
48,23,0.479167,S3,1x25 + 23* (q=11)
49,49,1.000000,S1,"AGL(1,49)"
50,25,0.500000,S2,2x25
51,19,0.372549,S3,1x32 + 19* (q=3)
52,23,0.442308,S3,1x29 + 23* (q=11)
53,53,1.000000,S1,"AGL(1,53)"
54,27,0.500000,S2,2x27
55,23,0.418182,S3,1x32 + 23* (q=11)
56,19,0.339286,S3,1x37 + 19* (q=3)
57,19,0.333333,S2,3x19
58,29,0.500000,S2,2x29
59,59,1.000000,S1,"AGL(1,59)"
60,23,0.383333,S3,1x37 + 23* (q=11)
61,61,1.000000,S1,"AGL(1,61)"
62,31,0.500000,S2,2x31
63,17,0.269841,S7f2,2x23 + 17* (q=2)
64,64,1.000000,S1,"AGL(1,64)"
65,19,0.292308,S7f2,2x23 + 19* (q=3)
66,23,0.348485,S3,1x43 + 23* (q=11)
67,67,1.000000,S1,"AGL(1,67)"
68,19,0.279412,S3,1x49 + 19* (q=3)
69,23,0.333333,S2,3x23
70,23,0.328571,S3,1x23 + 47* (q=23)
71,71,1.000000,S1,"AGL(1,71)"
72,25,0.347222,S3,1x25 + 47* (q=23)
73,73,1.000000,S1,"AGL(1,73)"
74,37,0.500000,S2,2x37
75,25,0.333333,S2,3x25
76,29,0.381579,S3,1x29 + 47* (q=23)
77,23,0.298701,S7f2,2x27 + 23* (q=11)
78,31,0.397436,S3,1x31 + 47* (q=23)
79,79,1.000000,S1,"AGL(1,79)"
80,19,0.237500,S7f3,3x19 + 23* (q=11)
81,81,1.000000,S1,"AGL(1,81)"
82,41,0.500000,S2,2x41
83,83,1.000000,S1,"AGL(1,83)"
84,37,0.440476,S3,1x37 + 47* (q=23)
85,23,0.270588,S7f2,2x31 + 23* (q=11)
86,43,0.500000,S2,2x43
87,29,0.333333,S2,3x29
88,41,0.465909,S3,1x41 + 47* (q=23)
89,89,1.000000,S1,"AGL(1,89)"
90,43,0.477778,S3,1x43 + 47* (q=23)
91,32,0.351648,S3,1x32 + 59* (q=29)
92,23,0.250000,S2,4x23
93,31,0.333333,S2,3x31
94,47,0.500000,S2,2x47
95,19,0.200000,S2,5x19
96,47,0.489583,S3,1x49 + 47* (q=23)
97,97,1.000000,S1,"AGL(1,97)"
98,49,0.500000,S2,2x49
99,19,0.191919,S7f4,4x19 + 23* (q=11)
100,47,0.470000,S3,1x53 + 47* (q=23)
101,101,1.000000,S1,"AGL(1,101)"
102,43,0.421569,S3,1x43 + 59* (q=29)
103,103,1.000000,S1,"AGL(1,103)"
104,23,0.221154,S7f3,3x27 + 23* (q=11)
105,29,0.276190,S7f2,2x29 + 47* (q=23)
106,53,0.500000,S2,2x53
107,107,1.000000,S1,"AGL(1,107)"
108,49,0.453704,S3,1x49 + 59* (q=29)
109,109,1.000000,S1,"AGL(1,109)"
110,27,0.245455,S3,1x27 + 83* (q=41)
111,47,0.423423,S3,1x64 + 47* (q=23)
112,53,0.473214,S3,1x53 + 59* (q=29)
113,113,1.000000,S1,"AGL(1,113)"
114,47,0.412281,S3,1x67 + 47* (q=23)
115,32,0.278261,S3,1x32 + 83* (q=41)
116,29,0.250000,S2,4x29
117,29,0.247863,S7f2,2x29 + 59* (q=29)
118,59,0.500000,S2,2x59
119,23,0.193277,S7f3,3x32 + 23* (q=11)
120,59,0.491667,S3,1x61 + 59* (q=29)
121,121,1.000000,S1,"AGL(1,121)"
122,61,0.500000,S2,2x61
123,59,0.479675,S3,1x64 + 59* (q=29)
124,41,0.330645,S3,1x41 + 83* (q=41)
125,125,1.000000,S1,"AGL(1,125)"
126,59,0.468254,S3,1x67 + 59* (q=29)
127,127,1.000000,S1,"AGL(1,127)"
128,128,1.000000,S1,"AGL(1,128)"
129,43,0.333333,S2,3x43
130,59,0.453846,S3,1x71 + 59* (q=29)
131,131,1.000000,S1,"AGL(1,131)"
132,59,0.446970,S3,1x73 + 59* (q=29)
133,43,0.323308,S7f2,2x43 + 47* (q=23)
134,67,0.500000,S2,2x67
135,27,0.200000,S2,5x27
136,53,0.389706,S3,1x53 + 83* (q=41)
137,137,1.000000,S1,"AGL(1,137)"
138,59,0.427536,S3,1x79 + 59* (q=29)
139,139,1.000000,S1,"AGL(1,139)"
140,59,0.421429,S3,1x81 + 59* (q=29)
141,47,0.333333,S2,3x47
142,71,0.500000,S2,2x71
143,32,0.223776,S7f3,3x32 + 47* (q=23)
144,61,0.423611,S3,1x61 + 83* (q=41)
145,47,0.324138,S7f2,2x49 + 47* (q=23)
146,73,0.500000,S2,2x73
147,64,0.435374,S3,1x64 + 83* (q=41)
148,59,0.398649,S3,1x89 + 59* (q=29)
149,149,1.000000,S1,"AGL(1,149)"
150,67,0.446667,S3,1x67 + 83* (q=41)
151,151,1.000000,S1,"AGL(1,151)"
152,31,0.203947,S7f3,3x31 + 59* (q=29)
153,47,0.307190,S7f2,2x47 + 59* (q=29)
154,71,0.461039,S3,1x71 + 83* (q=41)
155,32,0.206452,S7f3,3x32 + 59* (q=29)
156,73,0.467949,S3,1x73 + 83* (q=41)
157,157,1.000000,S1,"AGL(1,157)"
158,79,0.500000,S2,2x79
159,53,0.333333,S2,3x53
160,59,0.368750,S3,1x101 + 59* (q=29)
161,27,0.167702,S7f2,2x27 + 107* (q=53)
162,81,0.500000,S2,2x81
163,163,1.000000,S1,"AGL(1,163)"
164,81,0.493902,S3,1x81 + 83* (q=41)
165,53,0.321212,S7f2,2x53 + 59* (q=29)
166,83,0.500000,S2,2x83
167,167,1.000000,S1,"AGL(1,167)"
168,61,0.363095,S3,1x61 + 107* (q=53)
169,169,1.000000,S1,"AGL(1,169)"
170,41,0.241176,S7f3,3x41 + 47* (q=23)
171,64,0.374269,S3,1x64 + 107* (q=53)
172,83,0.482558,S3,1x89 + 83* (q=41)
173,173,1.000000,S1,"AGL(1,173)"
174,67,0.385057,S3,1x67 + 107* (q=53)
175,47,0.268571,S7f2,2x64 + 47* (q=23)
176,43,0.244318,S7f3,3x43 + 47* (q=23)
177,59,0.333333,S2,3x59
178,89,0.500000,S2,2x89
179,179,1.000000,S1,"AGL(1,179)"
180,83,0.461111,S3,1x97 + 83* (q=41)
181,181,1.000000,S1,"AGL(1,181)"
182,41,0.225275,S7f3,3x41 + 59* (q=29)
183,61,0.333333,S2,3x61
